timestamp,number,gas_used,gas_limit,base_fee_per_gas
2023-03-21 01:07:11 UTC,16872644,14775318,30000000,15403641272
2023-03-21 01:07:23 UTC,16872645,8689806,30000000,15374800265
2023-03-21 01:07:35 UTC,16872646,12734805,30000000,14566317162
2023-03-21 01:07:47 UTC,16872647,13581184,30000000,14291354256
2023-03-21 01:07:59 UTC,16872648,12449758,30000000,14122380906
2023-03-21 01:08:11 UTC,16872649,15399833,30000000,13822251832
2023-03-21 01:08:23 UTC,16872650,12078947,30000000,13868306768
2023-03-21 01:08:35 UTC,16872651,16041396,30000000,13530722943
2023-03-21 01:08:47 UTC,16872652,13792010,30000000,13648146615
2023-03-21 01:08:59 UTC,16872653,9444898,30000000,13510756410
2023-03-21 01:09:11 UTC,16872654,17074305,30000000,12885309494
2023-03-21 01:09:23 UTC,16872655,13911575,30000000,13108043343
2023-03-21 01:09:35 UTC,16872656,20932084,30000000,12989150660
2023-03-21 01:09:47 UTC,16872657,9428109,30000000,13631256766
2023-03-21 01:09:59 UTC,16872658,18455475,30000000,12998324459
2023-03-21 01:10:11 UTC,16872659,11583166,30000000,13372619335
2023-03-21 01:10:23 UTC,16872660,10727556,30000000,12991852499
2023-03-21 01:10:35 UTC,16872661,22210923,30000000,12529294481
2023-03-21 01:10:47 UTC,16872662,11057012,30000000,13282192628
2023-03-21 01:10:59 UTC,16872663,16034521,30000000,12845763244
2023-03-21 01:11:11 UTC,16872664,15720990,30000000,12956506675
2023-03-21 01:11:23 UTC,16872665,11837477,30000000,13034352606
2023-03-21 01:11:35 UTC,16872666,17215984,30000000,12690840607
2023-03-21 01:11:47 UTC,16872667,24299103,30000000,12925196438
2023-03-21 01:11:59 UTC,16872668,9411796,30000000,13926802546
2023-03-21 01:12:11 UTC,16872669,14348442,30000000,13278254099
2023-03-21 01:12:23 UTC,16872670,16237306,30000000,13206157827
2023-03-21 01:12:35 UTC,16872671,12748761,30000000,13342324979
2023-03-21 01:12:47 UTC,16872672,13301075,30000000,13092018627
2023-03-21 01:12:59 UTC,16872673,28619969,30000000,12906665646
2023-03-21 01:13:11 UTC,16872674,12253158,30000000,14371568862
2023-03-21 01:13:23 UTC,16872675,15246460,30000000,14042598621
2023-03-21 01:13:35 UTC,16872676,14866826,30000000,14071439778
2023-03-21 01:13:47 UTC,16872677,11778543,30000000,14055823529
2023-03-21 01:13:59 UTC,16872678,18076745,30000000,13678488270
2023-03-21 01:14:11 UTC,16872679,12055990,30000000,14029198439
2023-03-21 01:14:23 UTC,16872680,21764870,30000000,13685014269
2023-03-21 01:14:35 UTC,16872681,13816997,30000000,14456492122
2023-03-21 01:14:47 UTC,16872682,12167282,30000000,14313974843
2023-03-21 01:14:59 UTC,16872683,17241841,30000000,13976079392
2023-03-21 01:15:11 UTC,16872684,13811218,30000000,14237180623
2023-03-21 01:15:23 UTC,16872685,7980679,30000000,14096139756
2023-03-21 01:15:35 UTC,16872686,13717173,30000000,13271595341
2023-03-21 01:15:47 UTC,16872687,16330665,30000000,13129719001
2023-03-21 01:15:59 UTC,16872688,16492539,30000000,13275312813
2023-03-21 01:16:11 UTC,16872689,6754588,30000000,13440428830
2023-03-21 01:16:23 UTC,16872690,18018634,30000000,12516913221
2023-03-21 01:16:35 UTC,16872691,16419364,30000000,12831779719
2023-03-21 01:16:47 UTC,16872692,10008850,30000000,12983554437
2023-03-21 01:16:59 UTC,16872693,12669862,30000000,12443530540
2023-03-21 01:17:11 UTC,16872694,13995103,30000000,12201904346
2023-03-21 01:17:23 UTC,16872695,29974170,30000000,12099723871
2023-03-21 01:17:35 UTC,16872696,17793433,30000000,13609584889
2023-03-21 01:17:47 UTC,16872697,15580566,30000000,13926397085
2023-03-21 01:17:59 UTC,16872698,8252865,30000000,13993773690
2023-03-21 01:18:11 UTC,16872699,13867165,30000000,13206958022
2023-03-21 01:18:23 UTC,16872700,8303823,30000000,13082280487
2023-03-21 01:18:35 UTC,16872701,15377586,30000000,12352269940
2023-03-21 01:18:47 UTC,16872702,16135668,30000000,12391136974
2023-03-21 01:18:59 UTC,16872703,12535526,30000000,12508405455
2023-03-21 01:19:11 UTC,16872704,28894786,30000000,12251516789
2023-03-21 01:19:23 UTC,16872705,10861103,30000000,13670118488
2023-03-21 01:19:35 UTC,16872706,11739452,30000000,13198625052
2023-03-21 01:19:47 UTC,16872707,16047837,30000000,12840002132
2023-03-21 01:19:59 UTC,16872708,7834451,30000000,12952120709
2023-03-21 01:20:11 UTC,16872709,21727613,30000000,12178711913
2023-03-21 01:20:23 UTC,16872710,17481826,30000000,12861492417
2023-03-21 01:20:35 UTC,16872711,10433135,30000000,13127492302
2023-03-21 01:20:47 UTC,16872712,14919133,30000000,12627896593
2023-03-21 01:20:59 UTC,16872713,13453198,30000000,12619386759
2023-03-21 01:21:11 UTC,16872714,12504417,30000000,12456722654
2023-03-21 01:21:23 UTC,16872715,18375693,30000000,12197666110
2023-03-21 01:21:35 UTC,16872716,19005750,30000000,12540795910
2023-03-21 01:21:47 UTC,16872717,10320150,30000000,12959423353
2023-03-21 01:21:59 UTC,16872718,12331361,30000000,12454022042
2023-03-21 01:22:11 UTC,16872719,19897877,30000000,12177061301
